drug_name,rule_type
"Paracetamol + Codeine + Chlorpheniramine","BANNED_FDC"
"Paracetamol + Pseudoephedrine + Cetirizine + Caffeine","BANNED_FDC"
"Chlorpheniramine + Ammonium Chloride + Menthol","BANNED_FDC"
"N-Acetyl Cysteine + Ambroxol + Phenylephrine + Levocetirizine","BANNED_FDC"
"Dextromethorphan + Phenylephrine + Tripolidine + Menthol","BANNED_FDC"
"Salbutamol + Cetirizine + Ambroxol","BANNED_FDC"
"Dextromethorphan + Bromhexine + Phenylephrine + Guaifenesin + Chlorpheniramine","BANNED_FDC"
"Nimesulide + Cetirizine + Phenylephrine","BANNED_FDC"
"Naphazoline + Chlorpheniramine + Zinc Sulphate + Boric Acid + Sodium chloride + chlorobutol","BANNED_FDC"
"Paracetamol + Bromhexine + Phenylephrine + Chlorpheniramine + Guaifenesin","BANNED_FDC"
"Salbutamol + Bromhexine","BANNED_FDC"
"Dextromethorphan + Phenylephrine + Guaifenesin + Cetirizine + Acetaminophen","BANNED_FDC"
"Guaifenesin + Bromhexine + Chlorpheniramine + Paracetamol","BANNED_FDC"
"Chlorpheniramine + Ammonium Chloride + Chloroform + Menthol","BANNED_FDC"
"Salbutamol + Choline Theophylinate + Ambroxol","BANNED_FDC"
"Chlorpheniramine + Codeine phosphate + Menthol syrup","BANNED_FDC"
"Pseudoephedrine + Bromhexine","BANNED_FDC"
"Cetirizine + Phenylephrine + Paracetamol + Caffeine + Nimesulide","BANNED_FDC"
"Dextromethorphan + Cetirizine + Guaifenesin + Ammonium Chloride","BANNED_FDC"
"Ambroxol + Salbutamol + Choline Theophyllinate + Menthol","BANNED_FDC"
"Paracetamol + Chlorpheniramine + Ambroxol + Guaifenesin + Phenylephrine","BANNED_FDC"
"Chlorpheniramine + Vasaka + Tolubalsm + Ammonium Chloride + Sodium Citrate + Menthol","BANNED_FDC"
"Bromhexine + Cetrizine + Phenylephrine + Guaifenesin + Menthol","BANNED_FDC"
"Dextromethorphan + Ambroxol + Ammonium Chloride + Chlorpheniramine + Menthol","BANNED_FDC"
"Dextromethorphan + Phenylephrine + Cetirizine + Zinc + Menthol","BANNED_FDC"
"Terbutaline + N-Acetyl L-Cysteine + Guaifenesin","BANNED_FDC"
"Calcium Gluconate + Levocetirizine","BANNED_FDC"
"Paracetamol + Levocetirizine + Pseudoephedrine","BANNED_FDC"
"Salbutamol + Choline Theophylinate + Carbocisteine","BANNED_FDC"
"Chlorpheniramine + Vitamin C","BANNED_FDC"
"Calcium Gluconate + Chlorpheniramine + Vitamin C","BANNED_FDC"
"Chlorpheniramine + Paracetamol + Pseudoephedrine + Caffeine","BANNED_FDC"
